soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
土壤-10398,0.700175,0.6994629,-1,0,0.7000732,0.6984456,-1,0,0.9991409,0,0,0,0,0,0,0,0,0.6572168,0.8188938,0.7711625,0.7388259,0.7491662,0.753618,0.7462595,0.7668858,0.7872253,14.3,5.04,1.2195666,89.3172,87.9,87.5,10
土壤-10401,0.7047119,0.6947021,-1,0,0.7084961,0.699707,-1,0,0.9990867,0,0,0,0,0,0,0,0,0.5276963,0.6626131,0.623139,0.6006073,0.6360987,0.6343913,0.628621,0.6480951,0.6664154,13.5,5.02,1.0149594,109.4856,67.6,40.5,10
土壤-10402,0.7047526,0.6987508,-1,0,0.6954956,0.7056682,-1,0,0.9990551,0,0,0,0,0,0,0,0,0.6240271,0.7416202,0.704711,0.6830633,0.7126982,0.7161125,0.7157018,0.730586,0.746516,20.7,6.26,1.4887866,239.8599,165.4,124.5,10
土壤-10404,0.7062785,0.7000732,-1,0,0.6991577,0.6965129,-1,0,0.9991237,0,0,0,0,0,0,0,0,0.5749431,0.7031484,0.6661582,0.6463963,0.6790634,0.6810755,0.6756536,0.6949505,0.7134264,41.4,5.63,2.167221,121.7307,87,70.5,10
土壤-10405,0.7059733,0.7014974,-1,0,0.7168579,0.7006836,-1,0,0.9991125,0,0,0,0,0,0,0,0,0.5779681,0.7459289,0.6962419,0.6635261,0.6754424,0.6768836,0.6708379,0.6914109,0.7111615,13.1,5.06,0.9180402,128.2134,182.4,140.5,10
土壤-10406,0.7022095,0.7022095,-1,0,0.7025146,0.7052612,-1,0,0.999172,0,0,0,0,0,0,0,0,0.5868933,0.7236351,0.6856247,0.6630112,0.6892669,0.6929877,0.6850172,0.7050254,0.7242945,13.7,5.54,0.982653,98.6811,92.5,88,10
土壤-5306,0.6967163,0.6995646,-1,0,0.6864421,0.6935628,-1,0,0.999117,0,0,0,0,0,0,0,0,0.5817108,0.6785259,0.6457914,0.6271023,0.6434027,0.6470621,0.6388582,0.6521041,0.6657075,9.5,4.81,0.8722728,217.89075,147.6,279,5
土壤-5309,0.687968,0.694987,-1,0,0.700175,0.6947835,-1,0,0.9991375,0,0,0,0,0,0,0,0,0.5965528,0.6711469,0.6511459,0.6426079,0.6806743,0.6861563,0.6756782,0.6916646,0.708018,23.9,5.38,1.3461,164.2284,161.4,314.5,5
土壤-5311,0.6942749,0.6925456,-1,0,0.6947835,0.6972249,-1,0,0.9991516,0,0,0,0,0,0,0,0,0.5968383,0.6874877,0.6590853,0.6445698,0.6626922,0.66829,0.6597589,0.6724818,0.6861495,15.1,4.67,0.848043,86.436,228.5,153.5,5
土壤-5313,0.6884766,0.6933594,-1,0,0.7214355,0.6988525,-1,0,0.9993296,0,0,0,0,0,0,0,0,0.5593301,0.6686795,0.6352839,0.6161245,0.644254,0.6447499,0.6349648,0.6517664,0.6681864,22.3,5.5,0.6542046,141.8991,155,282.5,5
土壤-5315,0.6977336,0.6963094,-1,0,0.7033284,0.7108561,-1,0,0.9990669,0,0,0,0,0,0,0,0,0.6837153,0.8175795,0.7711541,0.7404894,0.7366529,0.7422708,0.7356677,0.751469,0.7674049,22,5.87,1.5197469,191.23965,176.2,59.25,5
土壤-5317,0.7053223,0.6999512,-1,0,0.7012939,0.7072754,-1,0,0.9992373,0,0,0,0,0,0,0,0,0.5986453,0.7206069,0.6812192,0.6579598,0.6743972,0.6767578,0.6694204,0.6861869,0.7021132,19.6,6.08,0.8386203,146.58105,218.7,122.5,5
土壤-5320,0.7183838,0.6978353,-1,0,0.6977336,0.6963094,-1,0,0.9991483,0,0,0,0,0,0,0,0,0.5681056,0.7091973,0.6651255,0.6381186,0.6519868,0.653941,0.6467819,0.6654032,0.6819014,23.9,4.06,1.2599496,106.24425,243,134.5,5
土壤-5356,0.6988525,0.6958008,-1,0,0.7006836,0.6971232,-1,0,0.9991068,0,0,0,0,0,0,0,0,0.5797409,0.6878096,0.655449,0.637327,0.6675562,0.6694269,0.6635742,0.6794217,0.6955614,21.4,5.61,1.2330276,109.4856,29.4,49,5
土壤-5357,0.6984456,0.6977336,-1,0,0.7076009,0.6947835,-1,0,0.9991075,0,0,0,0,0,0,0,0,0.5609665,0.6831332,0.6471699,0.6270853,0.6636386,0.6621395,0.6596738,0.6769828,0.6928783,27,5.64,1.5426306,146.9412,24.5,62.5,5
土壤-5358,0.6991577,0.7015991,-1,0,0.6985474,0.700175,-1,0,0.9991865,0,0,0,0,0,0,0,0,0.5303848,0.632222,0.6020406,0.586219,0.6240345,0.623019,0.6185675,0.6343315,0.649534,21.8,5.85,1.3932135,110.9262,179,84,5
土壤-5359,0.6948853,0.6946818,-1,0,0.7013957,0.6967163,-1,0,0.9991394,0,0,0,0,0,0,0,0,0.5216728,0.6483333,0.6119244,0.5913402,0.6296033,0.6270248,0.6225697,0.6405886,0.6574844,21.1,5.25,1.130724,118.1292,162.4,258,5
土壤-5360,0.6989543,0.6960042,-1,0,0.7021077,0.6983439,-1,0,0.9990863,0,0,0,0,0,0,0,0,0.6552196,0.7275236,0.7032349,0.6914467,0.7103894,0.716616,0.7075666,0.7197793,0.7328583,29.3,5.98,1.6543569,225.4539,78.7,160.25,5
土壤-5363,0.6984456,0.7019043,-1,0,0.7049561,0.7006836,-1,0,0.999131,0,0,0,0,0,0,0,0,0.5550213,0.6493143,0.6197819,0.6048039,0.6408073,0.6400249,0.6350199,0.6502693,0.6647134,23,6.41,1.938384,119.5698,91.3,40,5
土壤-5368,0.708313,0.6988525,-1,0,0.7063802,0.695699,-1,0,0.9990996,0,0,0,0,0,0,0,0,0.6234244,0.7156445,0.6836543,0.6643931,0.6828958,0.6827039,0.6731256,0.6883163,0.7033619,28.7,5.55,0.9126558,106.6044,181.8,86,5
