soil_num,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,TOC,PH,TN,SN,SP,SK,WT
soil-3573,0.6984456,0.7098389,-1,0,0.7037354,0.6960042,-1,0,0.9992812,0,0,0,0,0,0,0,0,0.5377344,0.5946661,0.5794038,0.5761615,0.6338741,0.6314349,0.6272753,0.6416726,0.6548483,27,5.64,1.5426306,146.9412,24.5,62.5,1.621764336
soil-363,0.6996663,0.6989543,-1,0,0.6988525,0.6971232,-1,0,0.9991415,0,0,0,0,0,0,0,0,0.5380337,0.5865617,0.5721607,0.5695669,0.6194803,0.6173038,0.6112692,0.6250619,0.6376198,23,6.41,1.938384,119.5698,91.3,40,1.522314924
soil-3631,0.6973267,0.6964111,-1,0,0.6967163,0.6738281,-1,0,0.9992012,0,0,0,0,0,0,0,0,0.5378666,0.5902703,0.5749084,0.5707256,0.6190271,0.6179003,0.6122375,0.6251563,0.6375223,23,6.41,1.938384,119.5698,91.3,40,1.522314924
soil-3632,0.6984456,0.6958008,-1,0,0.7116699,0.6931559,-1,0,0.9991237,0,0,0,0,0,0,0,0,0.5366225,0.5886964,0.5728126,0.5693468,0.6178331,0.6163472,0.6103333,0.6236054,0.6361995,23,6.41,1.938384,119.5698,91.3,40,1.522314924
soil-3633,0.6982422,0.6976318,-1,0,0.7037354,0.6939697,-1,0,0.9992473,0,0,0,0,0,0,0,0,0.535283,0.5867885,0.5719341,0.567796,0.6164643,0.6153338,0.6095802,0.6224535,0.6347234,23,6.41,1.938384,119.5698,91.3,40,1.522314924
soil-402,0.7015991,0.700887,-1,0,0.6972249,0.7014974,-1,0,0.9991068,0,0,0,0,0,0,0,0,0.5886237,0.6296215,0.6194403,0.6173784,0.6703442,0.6732779,0.6717921,0.682227,0.6943064,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
soil-4021,0.6972249,0.6982422,-1,0,0.6978353,0.6988525,-1,0,0.9991773,0,0,0,0,0,0,0,0,0.6073908,0.6595353,0.6448551,0.6408268,0.691608,0.6947266,0.6933511,0.7048043,0.717776,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
soil-4022,0.7045491,0.6964111,-1,0,0.6988525,0.6968181,-1,0,0.9991367,0,0,0,0,0,0,0,0,0.6023213,0.6531135,0.6391708,0.6350805,0.6855399,0.6883407,0.6871358,0.6985347,0.7110984,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
soil-4023,0.699056,0.7019043,-1,0,0.7100423,0.6968181,-1,0,0.9991399,0,0,0,0,0,0,0,0,0.596196,0.64518,0.6313307,0.6279486,0.6781462,0.6810604,0.6792479,0.6903434,0.7029555,20.7,6.26,1.4887866,239.8599,165.4,124.5,1.491996474
soil-406,0.7010905,0.6987508,-1,0,0.7094319,0.7000732,-1,0,0.9991075,0,0,0,0,0,0,0,0,0.5436808,0.5947054,0.5855603,0.5842769,0.6357525,0.6391278,0.6287833,0.6442391,0.6592007,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
soil-4061,0.713501,0.6919352,-1,0,0.6994629,0.6982422,-1,0,0.9991652,0,0,0,0,0,0,0,0,0.5415485,0.5924126,0.5828212,0.581807,0.6331244,0.6364298,0.6258233,0.641135,0.6562253,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
soil-4062,0.7002767,0.6935628,-1,0,0.6994629,0.6972249,-1,0,0.9993131,0,0,0,0,0,0,0,0,0.5472651,0.5979738,0.5884093,0.5873263,0.6390612,0.6418422,0.6315863,0.6474152,0.6624221,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
soil-4063,0.699056,0.7010905,-1,0,0.6831868,0.7027181,-1,0,0.9991837,0,0,0,0,0,0,0,0,0.5448557,0.595337,0.585426,0.5848084,0.6367838,0.6398273,0.628997,0.6446691,0.6599202,13.7,5.54,0.982653,98.6811,92.5,88,1.395032617
soil-313,0.7018026,0.7032267,-1,0,0.7076009,0.7027181,-1,0,0.9993129,0,0,0,0,0,0,0,0,0.5355247,0.58134,0.5688381,0.5656366,0.6112676,0.6111751,0.5996035,0.6130971,0.6263039,22.3,5.5,0.6542046,141.8991,155,282.5,1.389562329
